Id,SleepDate,TotalMinutesAsleep,TotalTimeInBed
1503960366,3/13/2016,411,426
1503960366,3/14/2016,354,386
1503960366,3/15/2016,312,335
1503960366,3/16/2016,333,366
1503960366,3/17/2016,402,437
1503960366,3/18/2016,379,411
1503960366,3/19/2016,447,468
1503960366,3/20/2016,469,476
1503960366,3/21/2016,390,427
1503960366,3/23/2016,281,297
1503960366,3/24/2016,303,344
1503960366,3/25/2016,351,386
1503960366,3/26/2016,437,472
1503960366,3/27/2016,483,506
1503960366,3/28/2016,73,77
1503960366,3/29/2016,349,378
1503960366,3/31/2016,308,336
1503960366,4/1/2016,283,306
1503960366,4/2/2016,439,509
1503960366,4/3/2016,379,426
1503960366,4/4/2016,294,337
1503960366,4/5/2016,280,309
1503960366,4/9/2016,380,407
1503960366,4/10/2016,455,478
1503960366,4/11/2016,310,329
1503960366,4/12/2016,327,346
1503960366,4/13/2016,384,407
1503960366,4/15/2016,412,442
1503960366,4/16/2016,372,400
1503960366,4/17/2016,668,679
1503960366,4/19/2016,304,320
1503960366,4/20/2016,360,377
1503960366,4/21/2016,325,364
1503960366,4/23/2016,361,384
1503960366,4/24/2016,430,449
1503960366,4/25/2016,277,323
1503960366,4/26/2016,245,274
1503960366,4/28/2016,366,393
1503960366,4/29/2016,341,354
1503960366,4/30/2016,404,425
1503960366,5/1/2016,369,396
1503960366,5/2/2016,277,309
1503960366,5/3/2016,273,296
1503960366,5/5/2016,247,264
1503960366,5/6/2016,334,367
1503960366,5/7/2016,331,349
1503960366,5/8/2016,594,611
1503960366,5/9/2016,338,342
1503960366,5/10/2016,383,403
1503960366,5/11/2016,285,306
1644430081,3/27/2016,373,495
1644430081,3/28/2016,466,466
1644430081,3/29/2016,56,121
1644430081,3/30/2016,538,840
1644430081,4/29/2016,119,127
1644430081,4/30/2016,124,142
1644430081,5/1/2016,194,359
1644430081,5/2/2016,602,602
1644430081,5/8/2016,137,154
1844505072,4/3/2016,169,190
1844505072,4/4/2016,771,771
1844505072,4/9/2016,221,636
1844505072,4/10/2016,277,325
1844505072,4/14/2016,0,224
1844505072,4/15/2016,644,737
1844505072,4/29/2016,0,111
1844505072,4/30/2016,722,1038
1844505072,5/1/2016,590,773
1927972279,3/11/2016,29,36
1927972279,3/12/2016,608,628
1927972279,3/13/2016,505,516
1927972279,3/14/2016,173,179
1927972279,3/15/2016,68,68
1927972279,3/16/2016,599,645
1927972279,3/17/2016,6,6
1927972279,3/18/2016,523,553
1927972279,3/19/2016,583,611
1927972279,3/20/2016,548,576
1927972279,3/21/2016,334,352
1927972279,3/22/2016,379,394
1927972279,3/23/2016,447,474
1927972279,3/24/2016,428,437
1927972279,3/25/2016,60,63
1927972279,3/26/2016,387,406
1927972279,3/27/2016,112,120
1927972279,3/28/2016,219,230
1927972279,3/29/2016,563,588
1927972279,3/30/2016,401,404
1927972279,3/31/2016,493,520
1927972279,4/1/2016,369,383
1927972279,4/2/2016,280,315
1927972279,4/3/2016,107,111
1927972279,4/4/2016,465,483
1927972279,4/5/2016,393,420
1927972279,4/6/2016,414,429
1927972279,4/9/2016,39,47
1927972279,4/10/2016,479,496
1927972279,4/11/2016,496,525
1927972279,4/12/2016,626,651
1927972279,4/13/2016,398,422
1927972279,4/14/2016,47,51
1927972279,4/15/2016,428,448
1927972279,4/25/2016,115,125
1927972279,4/26/2016,181,190
1927972279,4/28/2016,166,178
2022484408,3/13/2016,135,144
2026352035,3/11/2016,126,149
2026352035,3/12/2016,540,572
2026352035,3/13/2016,648,671
2026352035,3/14/2016,510,538
2026352035,3/15/2016,422,436
2026352035,3/16/2016,144,163
2026352035,3/17/2016,479,510
2026352035,3/18/2016,575,611
2026352035,3/19/2016,515,550
2026352035,3/20/2016,545,588
2026352035,3/21/2016,567,604
2026352035,3/22/2016,520,545
2026352035,3/23/2016,562,600
2026352035,3/24/2016,531,567
2026352035,3/25/2016,495,526
2026352035,3/26/2016,579,621
2026352035,3/27/2016,545,581
2026352035,3/28/2016,510,539
2026352035,3/29/2016,482,521
2026352035,3/30/2016,468,520
2026352035,3/31/2016,524,555
2026352035,4/1/2016,514,544
2026352035,4/2/2016,528,575
