Id,TotalUsedDays,AvgMinsUsed,AvgSteps,AvgCalories,AvgVeryActive,AvgFairlyActive,AvgLightlyActive,AvgSedentary,ActivityType,SleepType
6117666160,38,1109.4,7363,2218.6,1.3,2.6,291.4,814.1,Lightly Active,Oversleep
4319703577,43,1000.9,7422.8,2025.6,4.4,14,234.3,748.2,Lightly Active,Oversleep
2026352035,42,928.4,5054,1510.1,0.1,0.2,236.3,691.9,Lightly Active,Oversleep
1927972279,42,1303.1,1298.7,2225.3,1,1,60.3,1240.8,Sedentary,Sleepless
7007744171,37,1392.7,11733,2612.1,34.9,16.5,286.1,1055.2,Very Active,Sleepless
5553957443,42,906.8,8662.2,1884.4,23.9,14.1,203.4,665.5,Very Active,Sleepless
1503960366,49,1134.1,12174.8,1844.6,38.4,18.3,227.4,850,Very Active,Sleepless
4388161847,39,1165.9,8595.7,2829.5,18.4,16.2,182.3,949,Fairly Active,Sleepless
3977333714,41,980,10554.8,1512.3,17.4,54,188,720.6,Fairly Active,Sleepless
6775888955,35,1325.7,3301.2,2284.3,13.3,23.7,61.7,1227,Fairly Active,Sleepless
4558609924,42,1403.8,7295.3,2006.5,8.9,10.9,279.9,1104.1,Lightly Active,Sleepless
8792009665,40,1133.7,2271.9,2026.6,1.1,4.5,106,1022,Sedentary,NormalSleep
4020332650,62,1289.6,4115,2773,4.7,6.6,105.7,1172.5,Sedentary,NormalSleep
8378563200,42,948.3,8681.6,3450.6,57.6,10.2,162.3,718.3,Very Active,NormalSleep
7086361926,42,1077.3,8651,2501.3,38.9,23.8,134.8,879.9,Very Active,NormalSleep
5577150313,41,996.3,8385.9,3343.7,85.9,29.4,150.4,730.7,Very Active,NormalSleep
2347167796,32,990.2,9948.6,2084.5,13.1,22.4,260.9,693.8,Fairly Active,NormalSleep
6962181067,44,959,10788.7,2040.3,26.3,22.1,254.4,656.2,Fairly Active,NormalSleep
4702921684,45,1012.3,8553,2983.4,4.5,23.7,245.8,738.2,Fairly Active,NormalSleep
4445114986,45,1071.4,4729.1,2192.1,6.2,1.5,210.5,853.2,Lightly Active,NormalSleep
1624580081,49,1431,5137.4,1448.6,5.8,3.9,142.2,1279.1,Sedentary,Unclassified
1844505072,42,1308.2,2944.5,1613.6,0.3,1.2,130.5,1176.3,Sedentary,Unclassified
6290855005,39,1406.6,4615.8,2488.3,4.1,5.6,179.2,1217.8,Sedentary,Unclassified
2320127002,42,1426.9,4328.2,1691.5,1.3,2.2,180.6,1242.8,Sedentary,Unclassified
8583815059,39,1430,6346.6,2662.1,7.8,18,138.1,1266.1,Sedentary,Unclassified
6391747486,9,1302,1336.9,1763.1,5.1,0.7,34.3,1261.9,Sedentary,Unclassified
4057192912,35,1426.6,2158.7,1950.6,1.2,5,51,1369.3,Sedentary,Unclassified
8253242879,30,1432.3,5061.3,1717.6,15.3,10.9,97.7,1308.3,Sedentary,Unclassified
8053475328,41,1405,15138,2984.2,87.1,10.3,155.2,1152.4,Very Active,Unclassified
2022484408,42,1429.4,11711.2,2532.7,37.3,20.6,261,1110.6,Very Active,Unclassified
8877689391,42,1427.9,16759.4,3488.2,67.9,11.6,240.7,1107.7,Very Active,Unclassified
2891001357,8,1351.1,773.6,2273.4,0,82.5,168.8,1099.9,Fairly Active,Unclassified
1644430081,40,1358.5,7780.9,2837.6,10.9,26.9,190.8,1129.9,Fairly Active,Unclassified
3372868164,30,1408.2,6616.9,1908.8,10,3.9,314.2,1080.1,Lightly Active,Unclassified
2873212765,42,1424.5,7473,1899.4,11.9,6.2,306,1100.4,Lightly Active,Unclassified
